code,korname,engname
1529,동양3우선주(신형),TONGYANG(3PB)
84670,동양고속보통주,DONGYANG EXPRESS CORP.
1520,동양보통주,TONGYANG
82640,동양생명보험보통주,TONGYANG LIFE INSURANCE
8970,동양철관보통주,DongyangSteelPipe
92780,동양피스톤보통주,DONGYANG PISTON
49770,동원F&B보통주,"DongwonF&B Co.,Ltd."
18500,동원금속보통주,DONGWON METAL
6040,동원산업보통주,DongwonIndustries
30720,동원수산보통주,DongwonFisheries
14825,동원시스템즈1우선주,Dongwon Systems Corporation(1P)
14820,동원시스템즈보통주,Dongwon Systems Corporation
163560,동일고무벨트보통주,DRB Industrial
4890,동일산업보통주,"DONGILINDUSTRIESCO.,LTD"
2690,동일제강보통주,"DONG IL STEEL MFG CO., LTD"
20,동화약품보통주,DongwhaPharm
155,두산1우선주,DOOSAN(1P)
157,두산2우선주(신형),DOOSAN(2PB)
241560,두산밥캣보통주,Doosan Bobcat
150,두산보통주,DOOSAN
42670,두산인프라코어보통주,Doosan Infracore
34020,두산중공업보통주,DoosanHeavyIndustriesandConstruction
33626K,두산퓨얼셀1우선주,Doosan Fuel Cell(1P)
33626L,두산퓨얼셀2우선주(신형),Doosan Fuel Cell(2PB)
336260,두산퓨얼셀보통주,Doosan Fuel Cell
16740,두올보통주,DUAL
192650,드림텍보통주,DREAMTECH
24090,디씨엠보통주,DCMCorp.
3160,디아이보통주,DI
92200,디아이씨 보통주,DAE-IL Corporation
4840,디알비동일보통주,"DRB Holding Co.,Ltd"
13570,디와이보통주,DY Corporation
210540,디와이파워보통주,DY POWER Corporation
7340,디티알오토모티브보통주,DTR AUTOMOTIVE CORPORATION
26890,디피씨보통주,DigitalPowerCommunications
115390,락앤락보통주,"LOCK&LOCK CO.,LTD."
32350,롯데관광개발 보통주,"LOTTE TOUR DEVELOPMENT CO., LTD"
330590,롯데리츠보통주,LOTTE REIT
400,롯데손해보험보통주,LotteNon-LifeInsurance
23530,롯데쇼핑 보통주,"LOTTE SHOPPING CO., LTD."
4000,롯데정밀화학보통주,LOTTE Fine Chemical
286940,롯데정보통신보통주,LOTTE DATA COMMUNICATION COMPANY
280360,롯데제과보통주,LOTTE CONF
00499K,롯데지주1우선주,Lotte Corporation(1P)
4990,롯데지주보통주,Lotte Corporation
5305,롯데칠성음료1우선주,LotteChilsungBeverage(1P)
5300,롯데칠성음료보통주,LotteChilsungBeverage
11170,롯데케미칼보통주,LOTTE CHEMICAL CORPORATION
2270,롯데푸드보통주,LotteFood
71840,롯데하이마트보통주,LOTTE Himart
27740,마니커보통주,MANIKER
204320,만도보통주,Mando Corporation
1080,만호제강보통주,ManhoRope&Wire
88980,맥쿼리한국인프라투융자회사 보통주,Macquarie Korea Infrastructure Fund
138040,메리츠금융지주회사보통주,Meritz Financial Group
8560,메리츠증권보통주,MERITZ SECURITIES
60,메리츠화재해상보험보통주,Meritz Fire & Marine Insurance
90370,메타랩스보통주,METALABS
17180,명문제약 보통주,MyungMoon Pharm
9900,명신산업보통주,MYOUNG SHIN INDUSTRY
12690,모나리자보통주,Monalisa
5360,모나미보통주,Monami
204210,모두투어리츠보통주,MODETOURREIT
9680,모토닉보통주,MOTONIC
9200,무림페이퍼보통주,MOORIM PAPER
9580,무림피앤피보통주,Moorim P&P
33920,무학보통주,Muhak
8420,문배철강보통주,MoonbaeSteel
25560,미래산업보통주,MiraeCorporation
7120,미래아이앤지보통주,MiraeING
357250,미래에셋맵스리츠보통주,Miraeasset Maps REIT 1
94800,미래에셋맵스아시아퍼시픽부동산공모1호,MIRAEASSETMAPS ASIAPACIFIC REAL ESTATE 1
85620,미래에셋생명보험보통주,"MIRAE ASSET Life Insurance CO., Ltd."
6805,미래에셋증권1우선주,MIRAE ASSET SECURITIES(1P)
00680K,미래에셋증권2우선주(신형),MIRAE ASSET SECURITIES(2PB)
6800,미래에셋증권보통주,MIRAE ASSET SECURITIES
2840,미원상사보통주,MiwonCommercial
268280,미원스페셜티케미칼보통주,Miwon Specialty Chemical
107590,미원홀딩스 보통주,"Miwon Holdings Co.,Ltd."
134380,미원화학보통주,Miwon Chemicals
3650,미창석유공업보통주,MichangOilInd
155900,바다로19호선박투자회사,Badaro No.19 Ship Investment Company
3610,방림보통주,Pangrim
1340,백광산업보통주,PaikkwangIndustrial
35150,백산보통주,Baiksan
2410,범양건영보통주,BUMYANG CONSTRUCTION
7210,벽산보통주,Byuksan
2760,보락보통주,Bolak
3850,보령제약보통주,BoryungPharm
890,보해양조보통주,BohaeBrewery
3000,부광약품보통주,BukwangPharmaceutical
1275,부국증권1우선주,BookookSecurities(1P)
1270,부국증권보통주,BookookSecurities
26940,부국철강 보통주,Bookook Steel
15350,부산도시가스보통주,BusanCityGas
11390,부산산업보통주,BusanIndustrial
5030,부산주공보통주,PusanCastIron
2070,비비안보통주,VIVIEN CORPORATION
100220,비상교육 보통주,VISANG EDUCATION INC
30790,비케이탑스보통주,BK TOPS
5180,빙그레보통주,Binggrae
3960,사조대림보통주,SAJODAERIM
8040,사조동아원보통주,SAJODONGAONE
7160,사조산업보통주,SajoIndustries
14710,사조씨푸드보통주,SAJOSEAFOOD
6090,사조오양보통주,OYANG
1470,삼부토건보통주,SambuEngineering&Construction
6405,삼성SDI1우선주,SAMSUNG SDI(1P)
6400,삼성SDI보통주,"SAMSUNG SDI CO.,LTD."
6660,삼성공조보통주,"SamsungClimateControlCo.,Ltd"
02826K,삼성물산1우선주(신형),SAMSUNG C&T CORPORATION(1PB)
28260,삼성물산보통주,SAMSUNG C&T CORPORATION
207940,삼성바이오로직스보통주,SAMSUNG BIOLOGICS
